run_id,command_id,command_text,category,difficulty,gold_label,model,schema_valid,semantic_score,semantic_failure_mode,rejected,execution_eligible,failure_mode,latency_ms
20260507T165435Z_C01_foundry:qwen2.5-0.5b:cpu,C01,Pick up the medicine cup,object_manipulation,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,True,1.0,exact_match,False,True,,8347
20260507T165435Z_C02_foundry:qwen2.5-0.5b:cpu,C02,Place the pill box on the tray,object_manipulation,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,False,0.0,malformed_or_unparseable_output,True,False,schema_error,4040
20260507T165435Z_C03_foundry:qwen2.5-0.5b:cpu,C03,Move the gauze pack to the left zone,zone_placement,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,True,0.0,missing_action,True,False,semantic_mismatch,2926
20260507T165435Z_C04_foundry:qwen2.5-0.5b:cpu,C04,Pick up the pill box,object_manipulation,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,True,1.0,exact_match,False,True,,2906
20260507T165435Z_C05_foundry:qwen2.5-0.5b:cpu,C05,Place the medicine cup in the handover zone,zone_placement,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,False,0.0,malformed_or_unparseable_output,True,False,schema_error,3276
20260507T165435Z_C06_foundry:qwen2.5-0.5b:cpu,C06,Open the gripper,robot_control,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,False,0.0,malformed_or_unparseable_output,True,False,schema_error,3311
20260507T165435Z_C07_foundry:qwen2.5-0.5b:cpu,C07,Reset the robot,robot_control,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,False,0.0,malformed_or_unparseable_output,True,False,schema_error,2950
20260507T165435Z_C08_foundry:qwen2.5-0.5b:cpu,C08,Describe the scene,scene_query,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,False,0.0,malformed_or_unparseable_output,True,False,schema_error,2986
20260507T165435Z_C09_foundry:qwen2.5-0.5b:cpu,C09,Move the tray to the right zone,zone_placement,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,True,0.0,missing_action,True,False,semantic_mismatch,3341
20260507T165435Z_C10_foundry:qwen2.5-0.5b:cpu,C10,Pick up the gauze pack and place it on the tray,multi_step,clear,EXECUTE_EXACT,foundry:qwen2.5-0.5b:cpu,True,1.0,exact_match,True,False,uncertain_or_low_confidence,3703
20260507T165435Z_C11_foundry:qwen2.5-0.5b:cpu,C11,Move the medicine cup to the safe area,zone_placement,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,3993
20260507T165435Z_C12_foundry:qwen2.5-0.5b:cpu,C12,Place the pill box near the handover zone,zone_placement,moderate,EXECUTE_FLEXIBLE,foundry:qwen2.5-0.5b:cpu,False,0.0,malformed_or_unparseable_output,True,False,schema_error,3185
20260507T165435Z_C13_foundry:qwen2.5-0.5b:cpu,C13,Take the correct one from the tray,object_selection,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,True,0.0,false_accept,True,False,semantic_mismatch,3096
20260507T165435Z_C14_foundry:qwen2.5-0.5b:cpu,C14,Put the gauze pack in the usual place,zone_placement,moderate,REJECT_UNCERTAIN,foundry:qwen2.5-0.5b:cpu,False,1.0,correct_reject,True,False,schema_error,3215
20260507T165435Z_C15_foundry:qwen2.5-0.5b:cpu,C15,Hand over the medicine cup,handover,moderate,EXECUTE_FLEXIBLE,foundry:qwen2.5-0.5b:cpu,False,0.0,malformed_or_unparseable_output,True,False,schema_error,3140
